2598	227
2599	227
2599	241
2598	241
2598	242
2597	242
2597	245
2596	245
2596	246
2595	246
2595	247
2569	247
2569	248
2565	248
2565	249
2562	249
2562	250
2561	250
2561	251
2560	251
2560	254
2559	254
2559	255
2558	255
2558	258
2557	258
2557	259
2556	259
2556	261
2555	261
2555	262
2554	262
2554	263
2552	263
2552	264
2551	264
2551	265
2549	265
2549	266
2548	266
2548	267
2547	267
2547	271
2546	271
2546	272
2545	272
2545	273
2544	273
2544	274
2543	274
2543	275
2542	275
2542	276
2541	276
2541	277
2539	277
2539	278
2538	278
2538	279
2537	279
2537	280
2536	280
2536	281
2534	281
2534	282
2533	282
2533	283
2532	283
2532	284
2528	284
2528	285
2527	285
2527	286
2526	286
2526	287
2525	287
2525	288
2524	288
2524	289
2523	289
2523	290
2522	290
2522	291
2521	291
2521	292
2519	292
2519	293
2517	293
2517	294
2516	294
2516	295
2515	295
2515	296
2514	296
2514	297
2513	297
2513	298
2512	298
2512	299
2511	299
2511	300
2508	300
2508	301
2507	301
2507	302
2506	302
2506	303
2499	303
2499	304
2490	304
2490	305
2483	305
2483	306
2479	306
2479	307
2470	307
2470	308
2469	308
2469	309
2466	309
2466	310
2462	310
2462	311
2461	311
2461	312
2460	312
2460	313
2453	313
2453	314
2452	314
2452	315
2448	315
2448	316
2447	316
2447	317
2446	317
2446	318
2443	318
2443	319
2430	319
2430	320
2412	320
2412	321
2405	321
2405	322
2398	322
2398	323
2397	323
2397	324
2391	324
2391	325
2389	325
2389	326
2386	326
2386	327
2378	327
2378	328
2373	328
2373	329
2372	329
2372	330
2366	330
2366	331
2361	331
2361	332
2359	332
2359	333
2357	333
2357	334
2355	334
2355	335
2353	335
2353	336
2351	336
2351	337
2349	337
2349	338
2347	338
2347	339
2346	339
2346	340
2344	340
2344	341
2343	341
2343	342
2342	342
2342	343
2340	343
2340	344
2339	344
2339	345
2338	345
2338	346
2337	346
2337	347
2335	347
2335	348
2333	348
2333	349
2331	349
2331	350
2330	350
2330	351
2329	351
2329	352
2328	352
2328	353
2327	353
2327	354
2326	354
2326	355
2325	355
2325	356
2324	356
2324	357
2323	357
2323	358
2320	358
2320	359
2319	359
2319	360
2318	360
2318	362
2317	362
2317	363
2316	363
2316	364
2314	364
2314	365
2313	365
2313	366
2312	366
2312	367
2311	367
2311	370
2310	370
2310	371
2309	371
2309	372
2307	372
2307	374
2306	374
2306	376
2305	376
2305	378
2304	378
2304	379
2303	379
2303	380
2302	380
2302	381
2301	381
2301	384
2300	384
2300	385
2299	385
2299	386
2298	386
2298	389
2297	389
2297	390
2296	390
2296	391
2295	391
2295	392
2294	392
2294	393
2293	393
2293	394
2292	394
2292	395
2291	395
2291	396
2290	396
2290	397
2289	397
2289	400
2288	400
2288	401
2287	401
2287	402
2285	402
2285	403
2284	403
2284	404
2283	404
2283	405
2282	405
2282	406
2281	406
2281	407
2280	407
2280	408
2278	408
2278	409
2277	409
2277	410
2276	410
2276	411
2275	411
2275	412
2274	412
2274	413
2273	413
2273	414
2272	414
2272	415
2271	415
2271	416
2270	416
2270	417
2267	417
2267	418
2266	418
2266	419
2264	419
2264	420
2263	420
2263	421
2261	421
2261	423
2260	423
2260	424
2259	424
2259	425
2257	425
2257	426
2256	426
2256	427
2255	427
2255	445
2254	445
2254	446
2253	446
2253	454
2252	454
2252	455
2251	455
2251	456
2250	456
2250	463
2249	463
2249	464
2248	464
2248	467
2247	467
2247	475
2246	475
2246	518
2245	518
2245	519
2244	519
2244	520
2243	520
2243	521
2216	521
2216	522
2215	522
2215	523
2212	523
2212	524
2206	524
2206	525
2205	525
2205	526
2204	526
2204	527
2203	527
2203	528
2202	528
2202	529
2201	529
2201	530
2200	530
2200	572
2199	572
2199	573
2198	573
2198	574
2177	574
2177	573
2172	573
2172	572
2167	572
2167	571
2166	571
2166	570
2164	570
2164	569
2146	569
2146	570
2144	570
2144	571
2141	571
2141	572
2140	572
2140	573
2139	573
2139	574
2138	574
2138	575
2137	575
2137	576
2136	576
2136	577
2135	577
2135	578
2134	578
2134	579
2131	579
2131	580
2130	580
2130	581
2127	581
2127	582
2126	582
2126	583
2125	583
2125	584
2123	584
2123	585
2122	585
2122	587
2121	587
2121	588
2120	588
2120	589
2119	589
2119	590
2116	590
2116	591
2115	591
2115	592
2114	592
2114	593
2112	593
2112	594
2110	594
2110	595
2109	595
2109	596
2105	596
2105	597
2104	597
2104	598
2102	598
2102	599
2101	599
2101	600
2100	600
2100	601
2095	601
2095	602
2093	602
2093	603
2092	603
2092	604
2091	604
2091	605
2090	605
2090	606
2088	606
2088	607
2087	607
2087	608
2084	608
2084	609
2083	609
2083	610
2082	610
2082	611
2081	611
2081	612
2080	612
2080	613
2079	613
2079	615
2078	615
2078	617
2077	617
2077	618
2076	618
2076	621
2075	621
2075	624
2074	624
2074	625
2073	625
2073	626
2069	626
2069	627
2068	627
2068	629
2067	629
2067	630
2066	630
2066	631
2064	631
2064	632
2060	632
2060	633
2059	633
2059	634
2057	634
2057	635
2049	635
2049	636
2048	636
2048	637
2047	637
2047	638
2045	638
2045	639
2044	639
2044	640
2042	640
2042	641
2037	641
2037	642
2021	642
2021	643
2020	643
2020	644
2019	644
2019	645
2018	645
2018	646
2008	646
2008	647
1999	647
1999	648
1997	648
1997	649
1993	649
1993	650
1991	650
1991	651
1990	651
1990	652
1989	652
1989	653
1988	653
1988	654
1987	654
1987	655
1985	655
1985	656
1984	656
1984	657
1983	657
1983	658
1981	658
1981	659
1980	659
1980	660
1979	660
1979	661
1978	661
1978	662
1977	662
