TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QGAM903,6/19/2011,9.8,10.8,,,11.02,2.93,12.73,5.45,12.58,12.5,,,
QGAM905,6/20/2011,15,13.9,,,7.81,5.28,6.58,6.33,6.48,11.8,230,,
QGAM906,6/20/2011,18.7,17.2,,,11,12.85,15.53,7.78,12.03,11.8,,,
QGAM907,6/20/2011,19.4,18.1,,,6.58,13.38,12.91,10.67,12.63,11.6,150,,
QGAM908,6/20/2011,21.1,19.5,,,17.08,8.84,16.91,16.23,8.92,11.8,178,,
QGAM909,6/20/2011,14.7,14,,,13.38,11.93,10.08,9.92,7.8,11.8,145,,
QGAM910,6/20/2011,24,25.9,,,12.73,19.45,18.01,16.63,20.04,11.8,310,,
QGAM911,9/4/2011,20.2,21.3,,,11.92,5,15.4,13.98,14.48,11.8,160,,
QMUE901,6/17/2011,29,26.9,,,18.28,17.15,19.69,19.87,12.01,11.8,200,,
QMUE902,6/17/2011,49.9,47.4,,,2.11,33.29,19.54,27.18,30.31,11.4,170,,
QMUE903,6/17/2011,18.7,16.6,,,7.52,7.95,8.43,11.81,5.83,11.8,180,,
QMUE904,6/18/2011,49.4,24.9,36.3,,22.98,24.53,16.21,23.24,19.94,11.8,20,,1
QMUE905,6/18/2011,14.5,14.9,,,5.2,6.84,4.35,5.49,6.78,11.7,188,,
QMUE907,6/18/2011,24.7,23.9,,,17.51,18.41,20.7,12.02,25.83,11.8,340,,
QMUE908,6/18/2011,35.4,34.3,,,16.21,17.19,21.13,18.98,23.78,11.8,80,,
QMUE909,6/18/2011,52.5,20.3,43.4,,18.94,25.86,20.66,20.23,21.77,11.8,240,,1
QMUE910,6/18/2011,70.2,68.6,,,23.86,26.52,25.68,26.94,24.95,11.8,160,,
QMUE911,19-Jun,22.7,21.2,,,9.01,10.6,11.32,11.05,7.71,11.8,270,,
QMUE912,19-Jun,36.5,33.6,,,43.06,24.72,36.38,29.77,37.6,11.8,180,,
QMUE913,6/19/2011,38.5,35.6,,,20.78,22.78,11.44,32.14,26.33,11.8,0,,
QMUE914,9/3/2011,17.1,18.4,,,6.96,4.97,8.72,4.61,11.36,11.6,90,,
QMUE915,9/3/2011,13.2,12.8,,,6.92,6.89,3.66,6.43,3.99,11.8,6,,
QMUE916,9/3/2011,18.2,19.4,,,5.26,3.28,4.85,4.35,7.42,11.7,230,,
QMUE917,9/3/2011,38.3,32.5,,,10.15,17.64,40.41,12.26,12.71,11.3,178,,
QMUE918,9/3/2011,12.2,11.9,,,5.45,10.36,7.49,8.41,10.07,11.6,200,,
QMUE919,9/3/2011,17.2,18.6,,,3.52,10.65,9.57,7.75,8.45,11.6,340,,
QMUE920,9/3/2011,41,40.6,,,28.69,12.75,9.79,30.23,27.69,11.7,80,,
QMUE921,9/3/2011,43.4,39.2,,,33.45,32.57,17.67,34.72,12.44,11.8,310,,
